epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6487,4.4953,6.94755,0.11554,0,0,0,0,0.72657,4.95073,0.04031,0,0,0
2,32.0807,4.40211,7.0815,0.11119,0,0,0,0,0.72643,4.94971,0.0403,1.9802e-05,1.9802e-05,1.9802e-05
3,47.2948,4.64032,6.90249,0.10814,0,0,0,0,0.72629,4.9489,0.04029,3.9208e-05,3.9208e-05,3.9208e-05
4,62.2218,5.18661,8.45959,0.13079,0,0,0,0,0.72623,4.94838,0.04029,5.8218e-05,5.8218e-05,5.8218e-05
5,77.5421,1.03971,8.00566,0.04858,0,0,0,0,0.72609,4.9476,0.04028,7.6832e-05,7.6832e-05,7.6832e-05
6,92.6637,4.72596,7.41529,0.10675,0,0,0,0,0.72598,4.94578,0.04027,9.505e-05,9.505e-05,9.505e-05
7,107.516,2.59481,5.3721,0.04623,0,0,0,0,0.72586,4.94479,0.04027,0.000112872,0.000112872,0.000112872
8,122.923,3.89001,6.24283,0.07986,0,0,0,0,0.72572,4.94292,0.04026,0.000130298,0.000130298,0.000130298
9,138.165,3.46616,5.82381,0.07072,0,0,0,0,0.72546,4.94166,0.04025,0.000147328,0.000147328,0.000147328
10,153.057,2.36762,8.31464,0.10273,0,0,0,0,0.72523,4.93931,0.04023,0.000163962,0.000163962,0.000163962
11,168.058,2.19052,8.09881,0.10555,0,0,0,0,0.72495,4.93688,0.04022,0.0001802,0.0001802,0.0001802
12,183.39,4.37262,7.01551,0.11092,0,0,0,0,0.72457,4.93434,0.0402,0.000196042,0.000196042,0.000196042
13,199.242,0.83764,7.67156,0.0377,0,0,0,0,0.72426,4.93195,0.04019,0.000211488,0.000211488,0.000211488
14,214.581,2.75381,8.50136,0.11647,0,0,0,0,0.72374,4.92866,0.04016,0.000226538,0.000226538,0.000226538
15,230.686,4.46748,9.39243,0.13026,0,0,0,0,0.72324,4.92525,0.04014,0.000241192,0.000241192,0.000241192
16,246.512,2.48954,8.13678,0.10638,0,0,0,0,0.72258,4.92161,0.04011,0.00025545,0.00025545,0.00025545
17,261.761,4.30031,6.57692,0.10404,0,0,0,0,0.72185,4.91685,0.04008,0.000269312,0.000269312,0.000269312
